time,minimum,mean,maximum
0.0,0.0,0.0,0.0
0.002,-5.4035900046431116e-05,-7.849079072137958e-09,8.7002270188885e-05
0.004,-0.00011216861978708023,-1.815102647316487e-08,0.00018022317675731698
0.006,-0.00017462887527599583,-3.1362635719809525e-08,0.00028001983244694585
0.008,-0.00024165870442575444,-4.801149078340095e-08,0.00038678248345144295
0.01,-0.0003135119591866473,-6.870620939970922e-08,0.0005008375016620737
0.012,-0.0003904548143384385,-9.414795955237336e-08,0.0006225609911599711
0.014,-0.00047276629287354725,-1.2514350590535196e-07,0.0007523463665271276
0.016,-0.000560738807851968,-1.6261999930010656e-07,0.0008906046559637204
0.018000000000000002,-0.0006546787204915878,-2.0764173850501952e-07,0.0010377649261615906
0.02,-0.0007549069141419261,-2.6142915905442806e-07,0.0011942747608872472
0.022000000000000002,-0.0008617593837879897,-3.25380334481162e-07,0.0013606007637912392
0.024,-0.0009755878409212896,-4.0109530971808895e-07,0.0015372290716003992
0.026000000000000002,-0.0010967603338335634,-4.904036250805357e-07,0.001724665869487759
0.028,-0.0012256618833734372,-5.953954323574894e-07,0.0019234379022686477
0.030000000000000002,-0.0013626951338443236,-7.18456652401613e-07,0.002134092974419189
0.032,-0.0015082810180847821,-8.623086768732255e-07,0.002357200430421696
0.034,-0.0016628594350054798,-1.0300531756409498e-06,0.0025933516052860685
0.036000000000000004,-0.001826889937080224,-1.2252226366287992e-06,0.002843160233602707
0.038,-0.00200085242456213,-1.4518373368317177e-06,0.0031072628041979382
0.04,-0.002185247842527095,-1.714469522446818e-06,0.0033863188463071256
0.042,-0.0023805988762110267,-2.0183156633197655e-06,0.0036810111320391948
0.044000000000000004,-0.0025874506394684012,-2.369277742179088e-06,0.0039920457786761145
0.046,-0.002806371350500651,-2.774054643766664e-06,0.004320152232956702
0.048,-0.003037952988251382,-3.2402448223109815e-06,0.004666083117888876
0.05,-0.003282811922015416,-3.7764615494520906e-06,0.005030683613556949
0.052000000000000005,-0.003541589505839435,-4.392462177873986e-06,0.005415080362384081
0.054,-0.0038149526281865626,-5.099292999364023e-06,0.0058197613753879
0.056,-0.0041035942060820485,-5.909451429486297e-06,0.006245572743612895
0.058,-0.00440823361153823,-6.8370674141985885e-06,0.0066933804163019466
0.060000000000000005,-0.004729617016463181,-7.898106125749774e-06,0.007164068675085992
0.062,-0.005068517640476019,-9.11059419549044e-06,0.007658538264280348
0.064,-0.005425735884070505,-1.0494871917401042e-05,0.00817770413589644
0.066,-0.00580209932737569,-1.2073874046628629e-05,0.008722492764354163
0.068,-0.0061984625723455105,-1.3873442008768942e-05,0.009293838982174257
0.07,-0.006615706903557481,-1.5922670523788167e-05,0.009892682284200316
0.07200000000000001,-0.007054739739903889,-1.8254291828311e-05,0.01051996254422146
0.07400000000000001,-0.007516493846309119,-2.0905100845380522e-05,0.011176615084331452
0.076,-0.008001926271199894,-2.3916424791945955e-05,0.011863565034086924
0.078,-0.008512016971788926,-2.7334640822957716e-05,0.012581720913656247
0.08,-0.009047767085313416,-3.12117453731473e-05,0.013331967372858406
0.082,-0.009610196800209117,-3.560597885847987e-05,0.014115157016481517
0.084,-0.010200342776819664,-4.0582509321902875e-05,0.01493210124579408
0.08600000000000001,-0.010819255062673483,-4.621417842901444e-05,0.01578356004700229
0.08800000000000001,-0.011467993442653533,-5.258231291640891e-05,0.016670230659899057
0.09000000000000001,-0.012147623159603492,-5.977760413626597e-05,0.017592735064474233
0.092,-0.012859209936145723,-6.790105769605788e-05,0.01855160623023668
0.094,-0.013603814223839935,-7.706501432002454e-05,0.01954727308291252
0.096,-0.01438248460143256,-8.739424192121522e-05,0.020580044156544706
0.098,-0.015196250240008766,-9.902709741967314e-05,0.021650089916377093
0.1,-0.01604611234958048,-0.00011211675502540596,0.02275742375983296
