time,minimum,mean,maximum
0.0,-0.025999999999999995,-1.3607372539403521e-17,0.042
0.002,-0.0269873777422388,-1.4475282859086187e-07,0.043507155878117015
0.004,-0.02801201928268159,-3.1139134610321737e-07,0.04506829477573612
0.006,-0.02907531862940797,-5.026158418917794e-07,0.04668931946183689
0.008,-0.030178720962892716,-7.214325735231865e-07,0.04837574596553718
0.01,-0.03132372441433178,-9.711926421553726e-07,0.05012143040100713
0.012,-0.03251188189430262,-1.2556323829008818e-06,0.051928815084054614
0.014,-0.033744802971768365,-1.5789176319917127e-06,0.05380027963624818
0.016,-0.03502415580322784,-1.9456927160036025e-06,0.0557382105414979
0.018000000000000002,-0.03635166911148368,-2.3611348225739424e-06,0.057745032566613556
0.02,-0.03772913421405331,-2.8310144053714436e-06,0.05982322542922289
0.022000000000000002,-0.039158407106948435,-3.3617623179210964e-06,0.061975333895438356
0.024,-0.040641410619789646,-3.960544433622254e-06,0.06420397471364807
0.026000000000000002,-0.04218013666372145,-4.635344583144022e-06,0.06651184193669284
0.028,-0.043776648588345526,-5.395056729533679e-06,0.06890171138492446
0.030000000000000002,-0.045433083651027606,-6.249587393414935e-06,0.07137644459991441
0.032,-0.04715165558832434,-7.209969450004852e-06,0.07393899243653326
0.034,-0.04893465726970644,-8.288488535105342e-06,0.07659239834249866
0.036000000000000004,-0.05078446340949686,-9.498823425708769e-06,0.07933980133142922
0.038,-0.05270353331295981,-1.0856201903455173e-05,0.08218443864030633
0.04,-0.054694413634962954,-1.237757376280802e-05,0.08512964805926682
0.042,-0.056759741132969166,-1.408180279275967e-05,0.08817886992241483
0.044000000000000004,-0.058902245399194766,-1.5989879748680703e-05,0.09133564874887111
0.046,-0.0611247515590117,-1.8125158526653705e-05,0.09460363452207816
0.048,-0.06343018292385945,-2.0513617973832214e-05,0.09798658359220423
0.05,-0.06582156358707782,-2.3184151999306063e-05,0.10148924022482339
0.052000000000000005,-0.06830202095029188,-2.6168890907976865e-05,0.10512300153000498
0.054,-0.07087478816642442,-2.9503557150009744e-05,0.10888426992130978
0.056,-0.07354320648322095,-3.3227858970494145e-05,0.112777280518456
0.058,-0.07631072746846267,-3.738592576210835e-05,0.11680637425309086
0.060000000000000005,-0.07918091509489708,-4.2026789244926663e-05,0.12097599577005026
0.062,-0.08215744765938787,-4.720491496180867e-05,0.12529069066337878
0.064,-0.08524411950690398,-5.2980788933538226e-05,0.12975510197150367
0.066,-0.08844484252574371,-5.9421564710634556e-05,0.13437396584721542
0.068,-0.09176364737581608,-6.660177645021487e-05,0.1391521063094657
0.07,-0.09520468440686797,-7.460412405511802e-05,0.14409442897541752
0.07200000000000001,-0.09877222421822827,-8.352033681758413e-05,0.14920591366266836
0.07400000000000001,-0.10247065780592136,-9.345212241778592e-05,0.15449160574314466
0.076,-0.10630449623685481,-0.00010451220851849469,0.15995660612190543
0.078,-0.11027836978319246,-0.00011682548456807248,0.16560605970610007
0.08,-0.11439702644296686,-0.0001305302517549316,0.17144514222175472
0.082,-0.11866532976545462,-0.00014577958933917237,0.1774790452291068
0.084,-0.1230882558918335,-0.00016274284578975167,0.1837129591811232
0.08600000000000001,-0.12767088971317075,-0.00018160726326702943,0.19015205436492522
0.08800000000000001,-0.13241842003888368,-0.00020257974397749516,0.19680145956246842
0.09000000000000001,-0.1373361336595059,-0.00022588876673824922,0.2036662382654185
0.092,-0.14242940817795055,-0.00025178646173918,0.21075136228021887
0.094,-0.14770370347357373,-0.00028055085085140335,0.2180616825634332
0.096,-0.1531645516533239,-0.00031248825993758234,0.22560189713520115
0.098,-0.15881754533427786,-0.00034793590835471687,0.2333765159307844
0.1,-0.16466832409210094,-0.0003872646791683293,0.2413898224674665
